,Position,Driver,Car,Time,Laps
8,1,Mika Hakkinen,McLaren Mercedes,1:14.929,12
3,2,Michael Schumacher,Ferrari,1:15.159,12
7,3,David Coulthard,McLaren Mercedes,1:15.333,12
4,4,Eddie Irvine,Ferrari,1:15.527,12
1,5,Jacques Villeneuve,Williams Mecachrome,1:15.630,12
10,6,Ralf Schumacher,Jordan Mugen Honda,1:15.925,12
9,7,Damon Hill,Jordan Mugen Honda,1:16.245,9
2,8,Heinz-Harald Frentzen,Williams Mecachrome,1:16.319,12
5,9,Giancarlo Fisichella,Benetton Playlife,1:16.375,12
6,10,Alexander Wurz,Benetton Playlife,1:16.460,12
14,11,Jean Alesi,Sauber Petronas,1:16.627,12
12,12,Jarno Trulli,Prost Peugeot,1:16.892,12
15,13,Johnny Herbert,Sauber Petronas,1:16.977,12
18,14,Rubens Barrichello,Stewart Ford,1:17.024,12
19,15,Jos Verstappen,Stewart Ford,1:17.604,11
11,16,Olivier Panis,Prost Peugeot,1:17.671,11
16,17,Pedro Diniz,Arrows,1:17.880,8
20,18,Ricardo Rosset,Tyrrell Ford,1:17.908,11
17,19,Mika Salo,Arrows,1:17.970,11
21,20,Toranosuke Takagi,Tyrrell Ford,1:18.221,10
22,21,Shinji Nakano,Minardi Ford,1:18.273,12
23,22,Esteban Tuero,Minardi Ford,1:19.146,10
